x,y,z,nx,ny,nz,sk
-9.7781876373e-02,7.4054860563e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.9312000360e-03
4.4754776575e-01,1.0420625319e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.1304000287e-03
9.5002423155e-01,6.6770801435e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.4096000404e-03
9.9934232348e-01,-8.4545117631e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5464000325e-03
6.7553722292e-01,-5.7926095028e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.1496000381e-03
-1.0000000000e+00,8.6428238204e-01,1.3802799998e-01,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8792000356e-03
-7.6689489788e-01,-1.0000000000e+00,-7.1202731963e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,4.0144000368e-03
-4.7704278196e-02,-2.2225605406e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3072000303e-03
-5.3432693538e-03,-4.9817899783e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.9328000269e-03
4.4415291752e-01,1.0000000000e+00,-4.2106775341e-02,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,2.7976000257e-03
7.6193272389e-01,5.8159476895e-02,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.8168000350e-03
-2.9342118209e-01,6.8804108379e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.1600000381e-03
5.0520922321e-01,-5.8733961423e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.0264000278e-03
9.1284427940e-01,-1.3220010977e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.8048000441e-03
-9.8904120658e-02,5.9520831332e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.0560000372e-03
-6.0910637901e-01,8.4528752142e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.0768000374e-03
-3.5438927379e-01,1.0000000000e+00,-3.8616077138e-02,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,2.6000000238e-03
7.8485882956e-01,-6.7029561803e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4112000313e-03
8.1052368778e-01,-8.9139060464e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.4424000316e-03
-3.3884073156e-01,5.5940614991e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.6296000333e-03
-3.4476328005e-01,5.2716597221e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.9224000268e-03
-9.4761013852e-01,-7.2487721518e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4840000319e-03
1.0000000000e+00,-3.9262822232e-02,3.6737770014e-02,1.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,3.5256000323e-03
-1.0000000000e+00,-3.1855325561e-01,5.2703257537e-02,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8808000264e-03
-2.3673826528e-01,-1.9180440853e-02,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.5984000330e-03
-8.9379331123e-01,7.3631246992e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.4424000316e-03
2.4654659837e-01,4.5927656341e-02,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.0992000284e-03
-3.4809355646e-01,-7.8355769409e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.6400000334e-03
6.0832679465e-01,1.4636582400e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,2.9224000268e-03
1.0703170372e-01,-3.7541123423e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4840000319e-03
-1.7284206414e-01,3.1932126569e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4736000319e-03
3.6435670171e-01,5.3686299206e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4216000314e-03
-1.4126722992e-01,-9.5137626630e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.3280000305e-03
-1.8562087319e-01,-1.0000000000e+00,9.3669652348e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.7440000343e-03
-9.0566900051e-01,-2.1931381320e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.3192000213e-03
-2.0110235539e-02,4.2714942987e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.9416000361e-03
-5.2529193055e-01,-1.4467317956e-02,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.6192000332e-03
-6.0175733528e-01,-1.0692182648e-02,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.4112000313e-03
-1.0000000000e+00,-7.7668929558e-01,-8.7352451458e-04,-1.0000000000e+00,-0.0000000000e+00,-0.0000000000e+00,2.7456000252e-03
8.4679819927e-01,4.6336726360e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.7872000256e-03
-5.2029344465e-01,-1.0000000000e+00,3.2464916634e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.2032000294e-03
-2.3553714875e-01,-1.0000000000e+00,-1.0452611192e-01,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,4.1912000384e-03
1.0000000000e+00,5.8299614910e-01,5.3570352140e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0472000279e-03
